,Place,Place Latitude,Place Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
211,Perambur,13.1121242,80.245022,C3 Fitness Science,13.109061,80.24452,Gym / Fitness Center
212,Perambur,13.1121242,80.245022,World Gym,13.108223081779851,80.24629776409728,Gym
213,Perambur,13.1121242,80.245022,King gym,13.109819083870953,80.24128274379053,Gym
214,Perambur,13.1121242,80.245022,Mojo Fitness Center,13.110985825453916,80.23391486408443,Gym
215,Perambur,13.1121242,80.245022,King Gym,13.107987,80.23232,Gym
216,Perambur,13.1121242,80.245022,Teflon Fitness,13.127268718212644,80.241734706735,Gym
217,Dhanbad,23.7952809,86.4309638,Kala Bhawan Gym,23.800779421579886,86.43321965083275,Gym
218,Dhanbad,23.7952809,86.4309638,Fitness Point,23.786097342412436,86.44049834542315,Gym / Fitness Center
219,Udhana,21.1650911,72.8397743,Sun City Gym,21.152956087787313,72.8443734549254,Gym / Fitness Center
220,Worli,19.0116962,72.8180702,Golds Gym,19.006313232022645,72.83245351569332,Gym / Fitness Center
221,Worli,19.0116962,72.8180702,Four Seasons,18.9943558114436,72.82031891150143,Hotel
222,Worli,19.0116962,72.8180702,Spa at Four Seasons Hotel Mumbai,18.99440246016245,72.82032352357471,Spa
223,Worli,19.0116962,72.8180702,Google India Ltd,19.011500653291304,72.82046946899631,Yoga Studio
224,Worli,19.0116962,72.8180702,Home Deli,19.01375789692418,72.82774474273478,Yoga Studio
225,Zaina Kot,10.1081352,76.358976941566,Aluva Health Club,10.11265872,76.3523678,Gym
226,Zaina Kot,10.1081352,76.358976941566,Fitwell Gym,10.111235171942466,76.37183694194252,Gym
227,Kolhapur,16.7028412,74.2405329,Gym,16.70766390155325,74.24152851104736,Gym
228,Kolhapur,16.7028412,74.2405329,Intensity Gym and Fitness Centre,16.69707516,74.24261616,Gym
229,Kolhapur,16.7028412,74.2405329,parth gym,16.710168,74.234874,Gym
230,Kolhapur,16.7028412,74.2405329,Gold's Gym,16.711382750847775,74.24503422397267,Gym
231,Kolhapur,16.7028412,74.2405329,Talwalkar's prime fitness,16.712305160938865,74.24453561473828,Gym
232,Kolhapur,16.7028412,74.2405329,Parsana Gym,16.704797405263157,74.24370632105263,Yoga Studio
233,Kolhapur,16.7028412,74.2405329,Sonam Private Ltd,16.706201553344727,74.24571990966797,Martial Arts School
